strain	virus	date	country	division	location	host_type	length	lineage	authors	source
KY711206.1	Influenza A virus (A/Mexico/InDRE25/2016(H1N1))	2016-12-21	Mexico			Homo sapiens	1701	6B.1	Wong-Arambula,C.E., Rodriguez-Maldonado,A.P., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Floriani-Verdugo,J.R., Cruz-Ortiz,N., Nunez-Garcia,T.E., Arellano-Suarez,D.S., Barrera-Badillo,G., Torres-Longoria,B., Lopez-Martinez,I., Diaz-Quinones,J.A., Ramirez-Gonzalez,J.E.	ncbi
MF593530.1	Influenza A virus (A/Mexico/4604/2017(H1N1))	2017-02-10	Mexico			Homo sapiens	1701	6B.1	Vazquez-Perez,J.A., Vega-Sanchez,A.E., Tellez-Navarrete,N.A., Campos,F., Guadarrama-Perez,C., Sandoval,J.L., Castillejo-Lopez,M., Hernandez,A., Perez-Padilla,R., Sanchez-Huerta,J.L., De-La Rosa-Zamboni,D.	ncbi
MF593535.1	Influenza A virus (A/Mexico/4621/2017(H1N1))	2017-02-18	Mexico			Homo sapiens	1701	6B.1	Vazquez-Perez,J.A., Vega-Sanchez,A.E., Tellez-Navarrete,N.A., Campos,F., Guadarrama-Perez,C., Sandoval,J.L., Castillejo-Lopez,M., Hernandez,A., Perez-Padilla,R., Sanchez-Huerta,J.L., De-La Rosa-Zamboni,D.	ncbi
MF593541.1	Influenza A virus (A/Mexico/4627/2017(H1N1))	2017-02-24	Mexico			Homo sapiens	1701	6B.1	Vazquez-Perez,J.A., Vega-Sanchez,A.E., Tellez-Navarrete,N.A., Campos,F., Guadarrama-Perez,C., Sandoval,J.L., Castillejo-Lopez,M., Hernandez,A., Perez-Padilla,R., Sanchez-Huerta,J.L., De-La Rosa-Zamboni,D.	ncbi
MF593546.1	Influenza A virus (A/Mexico/4628/2017(H1N1))	2017-03-02	Mexico			Homo sapiens	1701	6B.1	Vazquez-Perez,J.A., Vega-Sanchez,A.E., Tellez-Navarrete,N.A., Campos,F., Guadarrama-Perez,C., Sandoval,J.L., Castillejo-Lopez,M., Hernandez,A., Perez-Padilla,R., Sanchez-Huerta,J.L., De-La Rosa-Zamboni,D.	ncbi
MF593554.1	Influenza A virus (A/Mexico/4687/2017(H1N1))	2017-03-12	Mexico			Homo sapiens	1701	6B.1	Vazquez-Perez,J.A., Vega-Sanchez,A.E., Tellez-Navarrete,N.A., Campos,F., Guadarrama-Perez,C., Sandoval,J.L., Castillejo-Lopez,M., Hernandez,A., Perez-Padilla,R., Sanchez-Huerta,J.L., De-La Rosa-Zamboni,D.	ncbi
MF593559.1	Influenza A virus (A/Mexico/4703/2017(H1N1))	2017-03-21	Mexico			Homo sapiens	1701	6B.1	Vazquez-Perez,J.A., Vega-Sanchez,A.E., Tellez-Navarrete,N.A., Campos,F., Guadarrama-Perez,C., Sandoval,J.L., Castillejo-Lopez,M., Hernandez,A., Perez-Padilla,R., Sanchez-Huerta,J.L., De-La Rosa-Zamboni,D.	ncbi
MF593567.1	Influenza A virus (A/Mexico/7317/2017(H1N1))	2017-01-16	Mexico			Homo sapiens	1701	6B.1	Vazquez-Perez,J.A., Vega-Sanchez,A.E., Tellez-Navarrete,N.A., Campos,F., Guadarrama-Perez,C., Sandoval,J.L., Castillejo-Lopez,M., Hernandez,A., Perez-Padilla,R., Sanchez-Huerta,J.L., De-La Rosa-Zamboni,D.	ncbi
MF593575.1	Influenza A virus (A/Mexico/8017/2017(H1N1))	2017-01-17	Mexico			Homo sapiens	1701	6B.1	Vazquez-Perez,J.A., Vega-Sanchez,A.E., Tellez-Navarrete,N.A., Campos,F., Guadarrama-Perez,C., Sandoval,J.L., Castillejo-Lopez,M., Hernandez,A., Perez-Padilla,R., Sanchez-Huerta,J.L., De-La Rosa-Zamboni,D.	ncbi
MF593583.1	Influenza A virus (A/Mexico/8517/2017(H1N1))	2017-01-18	Mexico			Homo sapiens	1701	6B.1	Vazquez-Perez,J.A., Vega-Sanchez,A.E., Tellez-Navarrete,N.A., Campos,F., Guadarrama-Perez,C., Sandoval,J.L., Castillejo-Lopez,M., Hernandez,A., Perez-Padilla,R., Sanchez-Huerta,J.L., De-La Rosa-Zamboni,D.	ncbi
MF593591.1	Influenza A virus (A/Mexico/11417/2017(H1N1))	2017-01-23	Mexico			Homo sapiens	1701	6B.1	Vazquez-Perez,J.A., Vega-Sanchez,A.E., Tellez-Navarrete,N.A., Campos,F., Guadarrama-Perez,C., Sandoval,J.L., Castillejo-Lopez,M., Hernandez,A., Perez-Padilla,R., Sanchez-Huerta,J.L., De-La Rosa-Zamboni,D.	ncbi
MF593599.1	Influenza A virus (A/Mexico/12317/2017(H1N1))	2017-01-24	Mexico			Homo sapiens	1701	6B.1	Vazquez-Perez,J.A., Vega-Sanchez,A.E., Tellez-Navarrete,N.A., Campos,F., Guadarrama-Perez,C., Sandoval,J.L., Castillejo-Lopez,M., Hernandez,A., Perez-Padilla,R., Sanchez-Huerta,J.L., De-La Rosa-Zamboni,D.	ncbi
MF593607.1	Influenza A virus (A/Mexico/15017/2017(H1N1))	2017-01-26	Mexico			Homo sapiens	1701	6B.1	Vazquez-Perez,J.A., Vega-Sanchez,A.E., Tellez-Navarrete,N.A., Campos,F., Guadarrama-Perez,C., Sandoval,J.L., Castillejo-Lopez,M., Hernandez,A., Perez-Padilla,R., Sanchez-Huerta,J.L., De-La Rosa-Zamboni,D.	ncbi
MF593612.1	Influenza A virus (A/Mexico/15517/2017(H1N1))	2017-01-27	Mexico			Homo sapiens	1701	6B.1	Vazquez-Perez,J.A., Vega-Sanchez,A.E., Tellez-Navarrete,N.A., Campos,F., Guadarrama-Perez,C., Sandoval,J.L., Castillejo-Lopez,M., Hernandez,A., Perez-Padilla,R., Sanchez-Huerta,J.L., De-La Rosa-Zamboni,D.	ncbi
MF593620.1	Influenza A virus (A/Mexico/17517/2017(H1N1))	2017-01-30	Mexico			Homo sapiens	1701	6B.1	Vazquez-Perez,J.A., Vega-Sanchez,A.E., Tellez-Navarrete,N.A., Campos,F., Guadarrama-Perez,C., Sandoval,J.L., Castillejo-Lopez,M., Hernandez,A., Perez-Padilla,R., Sanchez-Huerta,J.L., De-La Rosa-Zamboni,D.	ncbi
MK633745.1	Influenza A virus	2018-11-28	Mexico			Homo sapiens	1752	6B.1A.3	Falgout,C.R., Koster,B.L., Balansay-Ames,M.S., Myers,C.A., Graf,P.C.	ncbi
MK633753.1	Influenza A virus	2018-11-28	Mexico			Homo sapiens	1752	6B.1A.3	Falgout,C.R., Koster,B.L., Balansay-Ames,M.S., Myers,C.A., Graf,P.C.	ncbi
MK633761.1	Influenza A virus	2018-11-28	Mexico			Homo sapiens	1752	6B.1A.3	Falgout,C.R., Koster,B.L., Balansay-Ames,M.S., Myers,C.A., Graf,P.C.	ncbi
MK633776.1	Influenza A virus	2018-12-12	Mexico			Homo sapiens	1752	6B.1A.3	Falgout,C.R., Koster,B.L., Balansay-Ames,M.S., Myers,C.A., Graf,P.C.	ncbi
MK633784.1	Influenza A virus	2018-12-18	Mexico			Homo sapiens	1752	6B.1A.3	Falgout,C.R., Koster,B.L., Balansay-Ames,M.S., Myers,C.A., Graf,P.C.	ncbi
PZ041286.1	Influenza A virus	2019-12-17	Mexico			Homo sapiens	1745	6B.1A.5b	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ046294.1	Influenza A virus	2019-12-17	Mexico			Homo sapiens	1745	6B.1A.5b	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ046299.1	Influenza A virus	2019-12-17	Mexico			Homo sapiens	1745	6B.1A.5b	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ046304.1	Influenza A virus	2019-12-23	Mexico			Homo sapiens	1745	6B.1A.5b	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ046309.1	Influenza A virus	2019-11-25	Mexico			Homo sapiens	1744	6B.1A.5a.1	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ041275.1	Influenza A virus	2020-02-13	Mexico			Homo sapiens	1745	6B.1A.5b	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ041281.1	Influenza A virus	2020-02-17	Mexico			Homo sapiens	1745	6B.1A.5a.2	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ046282.1	Influenza A virus	2020-02-04	Mexico			Homo sapiens	1745	6B.1A.5a.1	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ046289.1	Influenza A virus	2020-02-27	Mexico			Homo sapiens	1745	6B.1A.5a.1	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ046326.1	Influenza A virus	2020-01-08	Mexico			Homo sapiens	1745	6B.1A.5a.1	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ046333.1	Influenza A virus	2020-01-28	Mexico			Homo sapiens	1745	6B.1A.5b	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ047067.1	Influenza A virus	2020-01-30	Mexico			Homo sapiens	1745	6B.1A.5b	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ047083.1	Influenza A virus	2020-01-24	Mexico			Homo sapiens	1745	6B.1A.5a.1	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ047099.1	Influenza A virus	2020-01-27	Mexico			Homo sapiens	1745	6B.1A.5a.1	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ047107.1	Influenza A virus	2020-01-29	Mexico			Homo sapiens	1745	6B.1A.5b	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ047859.1	Influenza A virus	2022-12-28	Mexico			Homo sapiens	1745	6B.1A.5a.2a.1	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ042451.1	Influenza A virus	2022-11-23	Mexico			Homo sapiens	1745	6B.1A.5a.2a.1	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ047507.1	Influenza A virus	2022-11-17	Mexico			Homo sapiens	1745	6B.1A.5a.2a.1	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ041291.1	Influenza A virus	2022-11-07	Mexico			Homo sapiens	1745	6B.1A.5a.2a.1	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ046149.1	Influenza A virus	2022-11-30	Mexico			Homo sapiens	1745	6B.1A.5a.2a.1	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ040493.1	Influenza A virus	2022-11-25	Mexico			Homo sapiens	1745	6B.1A.5a.2a.1	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ045397.1	Influenza A virus	2022-11-15	Mexico			Homo sapiens	1745	6B.1A.5a.2a.1	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ046080.1	Influenza A virus	2022-12-15	Mexico			Homo sapiens	1745	6B.1A.5a.2a.1	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ046166.1	Influenza A virus	2022-12-07	Mexico			Homo sapiens	1745	6B.1A.5a.2a.1	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ045382.1	Influenza A virus	2022-10-31	Mexico			Homo sapiens	1745	6B.1A.5a.2a.1	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ045404.1	Influenza A virus	2022-11-25	Mexico			Homo sapiens	1745	6B.1A.5a.2a.1	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ045416.1	Influenza A virus	2022-12-22	Mexico			Homo sapiens	1745	6B.1A.5a.2a.1	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ041059.1	Influenza A virus	2022-10-24	Mexico			Homo sapiens	1745	6B.1A.5a.2a.1	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ041078.1	Influenza A virus	2022-12-02	Mexico			Homo sapiens	1744	6B.1A.5a.2a.1	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ041084.1	Influenza A virus	2022-12-14	Mexico			Homo sapiens	1745	6B.1A.5a.2a.1	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ046560.1	Influenza A virus	2023-01-04	Mexico			Homo sapiens	1745	6B.1A.5a.2a.1	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PV490204.1	Influenza A virus	2023-12-29	Mexico			Homo sapiens	1752	6B.1A.5a.2a	Ruiz-Higareda,A.F., Galan-Huerta,K.A., Bocanegra-Ibarias,P., Alvarez-Salas,B.E., Camacho-Ortiz,A., Rivas-Estilla,A.M.	ncbi
PZ046587.1	Influenza A virus	2023-04-04	Mexico			Homo sapiens	1745	6B.1A.5a.2a	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PV490171.1	Influenza A virus	2023-11-28	Mexico			Homo sapiens	1752	6B.1A.5a.2a	Ruiz-Higareda,A.F., Galan-Huerta,K.A., Bocanegra-Ibarias,P., Alvarez-Salas,B.E., Camacho-Ortiz,A., Rivas-Estilla,A.M.	ncbi
PZ046603.1	Influenza A virus	2023-08-04	Mexico			Homo sapiens	1745	6B.1A.5a.2a	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ041577.1	Influenza A virus	2023-06-02	Mexico			Homo sapiens	1745	6B.1A.5a.2a	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ041582.1	Influenza A virus	2023-06-17	Mexico			Homo sapiens	1745	6B.1A.5a.2a	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
PZ046618.1	Influenza A virus	2023-08-19	Mexico			Homo sapiens	1745	6B.1A.5a.2a	Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Taboada,B., Vazquez,J.	ncbi
